2613.8049 	DATA 	Keypress: 1
2613.8131 	EXP 	unnamed TextStim: text = 'trial 118 / 144'
2615.8227 	EXP 	Sound  started
2625.8513 	DATA 	Keypress: 4
2626.5100 	DATA 	Keypress: 4
2627.1601 	DATA 	Keypress: 4
2627.8606 	DATA 	Keypress: 4
2628.5857 	DATA 	Keypress: 4
2629.2443 	DATA 	Keypress: 4
2629.8945 	DATA 	Keypress: 4
2630.5781 	DATA 	Keypress: 4
2632.4453 	DATA 	Keypress: 2
2632.4535 	EXP 	unnamed TextStim: text = 'trial 119 / 144'
2634.4632 	EXP 	Sound  started
2645.2504 	DATA 	Keypress: 4
2645.8756 	DATA 	Keypress: 4
2646.4926 	DATA 	Keypress: 4
2647.1428 	DATA 	Keypress: 4
2647.8347 	DATA 	Keypress: 4
2648.4933 	DATA 	Keypress: 4
2649.1436 	DATA 	Keypress: 4
2650.8942 	DATA 	Keypress: 2
2650.9023 	EXP 	unnamed TextStim: text = 'trial 120 / 144'
2652.9120 	EXP 	Sound  started
2662.9155 	DATA 	Keypress: 4
2663.6242 	DATA 	Keypress: 4
2664.2577 	DATA 	Keypress: 4
2664.9163 	DATA 	Keypress: 4
2665.5666 	DATA 	Keypress: 4
2666.2251 	DATA 	Keypress: 4
2666.9087 	DATA 	Keypress: 4
2667.5840 	DATA 	Keypress: 4
2670.2265 	DATA 	Keypress: 3
2743.3491 	DATA 	Keypress: space
2743.3550 	EXP 	unnamed TextStim: text = 'trial 121 / 144'
2745.3646 	EXP 	Sound  started
2755.3846 	DATA 	Keypress: 4
2756.0680 	DATA 	Keypress: 4
2756.6851 	DATA 	Keypress: 4
2757.3770 	DATA 	Keypress: 4
2758.0105 	DATA 	Keypress: 4
2758.6775 	DATA 	Keypress: 4
2759.3111 	DATA 	Keypress: 4
2759.9947 	DATA 	Keypress: 4
2760.6866 	DATA 	Keypress: 4
2762.4704 	DATA 	Keypress: 1
2762.4786 	EXP 	unnamed TextStim: text = 'trial 122 / 144'
2764.4883 	EXP 	Sound  started
2775.1672 	DATA 	Keypress: 4
2775.8257 	DATA 	Keypress: 4
2776.4760 	DATA 	Keypress: 4
2777.1012 	DATA 	Keypress: 4
2777.7515 	DATA 	Keypress: 4
